,Site,Publication,Period,Lower_context_date,Upper_context_date,Amphora_type,Provenance,Frequency,Notes,Amphora_type_lower_date,Amphora_type_upper_date,Pleiades URI,Latitude,Longitude,Grouped_sites,Site_type,Site_notes,problems,content,Amphora_type_notes,Tyrrhenian_vs_Adriatic,New_type_name,Amphora_type_merged
10,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,dr 7-13,baetica,35.0,"I-II AD,",-30.0,150.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,,tyrrhenian,dr 7-13,dr 7-13
11,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,dr 2-4_5,tyrrhenian italy,10.0,"I-II AD,",-70.0,225.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,wine,,tyrrhenian,dr 2-4,dr 2-4
12,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,dr 2-4,aegean,23.0,"I-II AD,",-100.0,200.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,wine,,tyrrhenian,,dr 2-4
13,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,dr 2-4_2,spain,30.0,"I-II AD,",-25.0,200.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,wine,,tyrrhenian,dr 2-4,dr 2-4
14,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,dr 2-4_7,unknown,102.0,"I-II AD,",1.0,200.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,wine,,tyrrhenian,dr 2-4,dr 2-4
15,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,camulodunum 184/dr 43,aegean,44.0,"I-II AD,",-25.0,250.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,wine,,tyrrhenian,camulodunum 184,camulodunum 184
16,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,aegean/oriental,aegean/oriental,19.0,"I-II AD,",1.0,200.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,unknown,,tyrrhenian,,aegean/oriental
17,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,aegean/oriental,aegean/oriental,19.0,"I-II AD,",1.0,200.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,unknown,,tyrrhenian,,aegean/oriental
18,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,aegean/oriental,aegean/oriental,19.0,"I-II AD,",1.0,200.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,unknown,,tyrrhenian,,aegean/oriental
19,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,aegean/oriental,aegean/oriental,19.0,"I-II AD,",1.0,200.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,unknown,,tyrrhenian,,aegean/oriental
20,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,aegean/oriental,aegean/oriental,19.0,"I-II AD,",1.0,200.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,unknown,,tyrrhenian,,aegean/oriental
21,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,forlimpopoli,adriatic italy,21.0,"I-II AD,",-25.0,300.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,wine,"garum suggested for the type A and D, but unconfirmed",tyrrhenian,,forlimpopoli
22,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,dr 20,baetica,60.0,"I-II AD,",1.0,300.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,olive oil,,tyrrhenian,,dr 20
23,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,"gauloise 2, 3, 5",gaul,61.0,"I-II AD,",-40.0,125.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,wine,,tyrrhenian,gauloise 2,gauloise 2
24,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,collo ad imbuto,adriatic italy,71.0,"I-II AD,",1.0,250.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,libarna,urban,,,unknown,,tyrrhenian,,collo ad imbuto
25,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,africanai,africa,12.0,,150.0,400.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,olive oil,,tyrrhenian,africana_1,africana_1
26,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,aegean,aegean,3.0,,1.0,200.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,unknown,,tyrrhenian,,aegean
27,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,orlo ad anello,gaul,11.0,,1.0,200.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,unknown,,tyrrhenian,,orlo ad anello
28,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,mr18/dr 24,pergamon,3.0,,1.0,300.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,olive oil,,tyrrhenian,dr 24,dr 24
29,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,agora f65-66,anatolia,1.0,,-50.0,400.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,"Panell, Rizzo 2014, 390",tyrrhenian,,agora f65-66
30,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,ac1,crete,3.0,,1.0,350.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,ac1,ac1
31,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 43_1,crete,4.0,,1.0,250.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,dr 43,dr 43
32,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,camulodunum 184,rhodes,57.0,,-25.0,150.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,in a few cases the provenance of this amphora given in the sonata ABM spreadshit is Rhodes - it should always be Aegean for the consistency,wine,,tyrrhenian,,camulodunum 184
33,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,gauloise,gaul,40.0,,-30.0,300.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,gauloise 1,gauloise 1
34,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 7-11,gaul,8.0,,-30.0,96.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,,tyrrhenian,dr 7-13,dr 7-13
35,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,gauloise 5,gaul,10.0,,50.0,125.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,,gauloise 5
36,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,gauloise 4,gaul,5.0,,50.0,300.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,,gauloise 4
37,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,orlo a doppia inflessione esterna,unknown,13.0,,1.0,200.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,unknown,,tyrrhenian,,orlo a doppia inflessione esterna
38,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 20,baetica,61.0,,1.0,300.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,olive oil,,tyrrhenian,,dr 20
39,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 7-11 ,baetica,50.0,,-30.0,96.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,,tyrrhenian,dr 7-13,dr 7-13
40,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,haltern 70,baetica,1.0,,-80.0,192.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,defrutum,,tyrrhenian,,haltern 70
41,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 2-5 ,unknown,33.0,,-100.0,200.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,,dr 2-5 
42,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 2-5 ,aegean,113.0,,-100.0,200.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,,dr 2-5 
43,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 2-5_2,gaul,16.0,,-30.0,100.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,dr 2-5 ,dr 2-5 
44,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 2-5_1,spain,43.0,,-25.0,200.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,dr 2-5 ,dr 2-5 
45,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 2-5 ,tyrrhenian italy,15.0,,-70.0,225.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,,dr 2-5 
46,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,forlimpopoli,adriatic italy,18.0,,-25.0,300.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,"garum suggested for the type A and D, but unconfirmed",tyrrhenian,,forlimpopoli
47,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,per olive,unknown,2.0,,1.0,200.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,olive oil,,tyrrhenian,unknown,unknown
48,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 6a/6b,adriatic italy,144.0,,-25.0,150.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,unknown,,tyrrhenian,dr 6a,dr 6a
49,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,collo ad imbuto,adriatic italy,73.0,,1.0,250.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,unknown,,tyrrhenian,,collo ad imbuto
50,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 6b,adriatic italy,149.0,,1.0,150.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,olive oil,,tyrrhenian,dr 6b,dr 6b
51,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",EI,1.0,200.0,dr 6a,adriatic italy,35.0,,-25.0,50.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,,dr 6a
52,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",LR,-150.0,-1.0,dr 1,tyrrhenian italy,5.0,,-150.0,-50.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,,tyrrhenian,,dr 1
53,alba pompeia,"Bruno, 1997, p. 529, grafico 2; Bruno B., Contenitori da trasporto: i consumi di olio, vino e di altre derrate, in. F. Filippi ed. “Alba Pompeia: Archeologia della città dalla fondazione alla tarda antichità, Alba 1997, 516-532.",LR/EI,-100.0,50.0,lamb.2,adriatic italy,2.0,,-200.0,-25.0,https://pleiades.stoa.org/places/383564,44.700835,8.035244,alba pompeia,urban,,,wine,evidence from Marague des Giennes,tyrrhenian,,lamb.2
54,altinum,"Toniolo A. 1991: Le anfore di Altino, Padova.",EI,1.0,200.0,dr 6a,adriatic italy,175.0,,-25.0,50.0,https://pleiades.stoa.org/places/197110,45.956108,18.683919,altinum,urban,,,wine,,adriatic,,dr 6a
